Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
best cat food brands,1600,77.97,2.99,1.00,"Review, Video"
best cat food brand,320,77.67,3.40,0.82,"Review, Video"
best wet cat food brands,260,76.79,3.14,1.00,
best dry cat food brands,170,74.85,2.60,1.00,"Review, Video"
best brand of cat food,140,76.59,2.64,0.96,"Review, Video"
best brands of cat food,70,74.38,0.86,0.94,Video
best cat food brands for indoor cats,50,77.59,4.26,0.99,"Review, Video"
what is the best cat food brand,50,75.15,4.25,1.00,Video
best brand cat food,50,73.89,1.40,0.92,"Review, Video"
what is the best brand of cat food,40,78.51,3.95,1.00,Video
best wet cat food brand,40,76.12,0.65,0.94,"Review, Video"
best canned cat food brands,30,76.79,4.52,0.96,"Review, Video"
best raw cat food brands,30,74.09,3.97,1.00,"Review, Video"
best brand of wet cat food,30,74.73,3.77,0.92,Video
best dry cat food brand,30,78.63,3.44,0.98,"Review, Video"
the best cat food brands,30,76.39,3.05,1.00,"Review, Video"
best cat food for kittens brand,30,0.00,0.17,1.00,
best cat food brands for kittens,20,0.00,3.94,1.00,
best cat wet food brands,20,77.05,3.60,0.99,"Review, Video"
best brand of dry cat food,20,78.30,0.80,0.97,"Review, Video"
best natural cat food brands,20,77.41,0.29,1.00,"Images, Review"
best healthy cat food brands,20,0.00,0.04,1.00,
best cat dry food brands,20,0.00,0.00,1.00,
best brand of cat food dry,10,0.00,9.78,1.00,
cat food best brands,10,0.00,5.17,0.76,
best quality cat food brands,10,76.41,4.12,1.00,Review
the best cat food brand,10,76.18,3.25,0.99,"Review, Video"
best food brand for cats,10,0.00,1.22,1.00,
best cat food brands in canada,10,73.63,0.00,0.86,
best cat food brands 2014,10,72.36,0.00,0.00,"Review, Video"
